ID,Name,Password,Email,Role
1,staff,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,staff@email.com,admin
2,cck2,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,pycck@hotmail.com,admin
3,namewee,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,namewee@namewee.namewee,admin
4,kingsleys2,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,a@a.com,customer
5,sdas,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,af@as.as,admin
6,asd121,5fd924625f6ab16a19cc9807c7c506ae1813490e4ba675f843d5a10e0baacdb8,a@b.com,customer
7,a@c.com,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,a@c.com,customer
8,asd,5fd924625f6ab16a19cc9807c7c506ae1813490e4ba675f843d5a10e0baacdb8,asd@asd.com,admin
9,s,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,13@a.com,admin
10,123,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,123@123.com,customer
